name,val
0,-30.377188165483496
1,-31.020516530550182
2,-31.121456334963273
3,-20.05654646648289
4,-31.136827942202654
5,-31.024364358112923
6,-34.90484091311953
7,-33.65518577899315
8,-30.289087351988783
9,-29.06821735328528
10,-21.601474693372616
11,-29.927035810907054
12,-33.86008587946434
13,-32.99811676334351
14,-29.86238641134382
15,-28.95782983725017
16,-29.372412506964874
17,-30.109607957502675
18,-35.35207656703775
19,-31.45272624778068
20,-29.70449837174105
21,-29.497211337872578
22,-29.087279297278887
23,-21.67301330306384
24,-24.703222894103327
25,-27.893709769318193
26,-30.201360798073168
27,-31.593496378311315
28,-29.73473933017017
29,-28.28807581869835
30,-18.833563546075872
31,-26.543861834017513
32,-28.107202273150417
33,-27.720663832023632
34,-26.0080293460408
35,-24.613765623487232
36,-21.949533184708763
37,-21.128734754066556
38,-26.299413065513786
39,-30.715887635117213
40,-30.517444207111378
41,-28.609881502360572
42,-28.67761934377363
43,-24.105687127151096
44,-29.09151044146896
45,-34.64144366868693
46,-30.227918723775904
47,-29.409144746987725
48,-29.37024443422196
49,-25.62041571087667
50,-16.630306333847095
51,-26.521809155917534
52,-30.700936779301475
53,-31.857587096478962
54,-29.584846588816312
55,-28.03849866488347
56,-27.12913088431997
57,-27.242673174832856
58,-30.270647412387305
59,-33.69833992821896
60,-29.262204486039995
61,-27.151937232807487
62,-25.34381517580443
63,-16.367144424759953
64,-22.07684208135344
65,-25.28217606432117
66,-27.26271207964146
67,-27.046543720006664
68,-25.66847458805168
69,-23.542705639769007
70,-19.09975269904979
71,-27.37424401437526
72,-29.86615974432477
73,-38.238625247224945
74,-30.11895446949124
75,-26.315488307671437
76,-21.390133750698478
77,-20.7939330390046
78,-24.122688468173408
79,-26.230130802364904
80,-28.268373945627662
81,-28.084066308675443
82,-27.607029362668776
83,-21.672598259669297
84,-25.223636200547123
85,-27.794830080890808
86,-29.841604544183774
87,-28.871837945581348
88,-28.467439481455763
89,-31.501828843788324
90,-21.974764783982973
91,-28.225230702232217
92,-31.62910041333266
93,-30.186125497775294
94,-29.19332015940983
95,-29.081356139849454
96,-27.58656154293628
97,-28.479277749366027
98,-29.809420534853036
99,-31.381792994488627
100,-36.46076393711644
101,-33.957888746151056
102,-31.262526922569474
103,-20.458249279575924
104,-27.21273123210093
105,-29.811206420987062
106,-35.580582183051646
107,-33.03463717160347
108,-31.391829444838528
109,-32.01300102093219
110,-22.42425816635606
111,-28.45561954049254
112,-35.41550844409983
113,-33.53263096789146
114,-33.03975700396832
115,-31.88319539575186
116,-21.937460027618464
117,-23.728811834398343
118,-28.970844024108754
119,-30.126099120192382
120,-29.630393146745057
121,-30.3412393373382
122,-32.28136378126796
123,-29.374361691654926
124,-30.930633107093083
125,-30.7647528786873
126,-32.596600342379446
127,-39.0982476203026
128,-30.746876215073485
129,-27.076481143000308
130,-28.921615099446797
131,-29.516962774896317
132,-30.710457808711602
133,-34.862500095256685
134,-30.40389843720881
135,-26.883194640435146
136,-21.582404975857333
137,-24.061174690994136
138,-26.061882846976285
139,-27.65016037930618
140,-29.59657012515722
141,-28.955148939233588
142,-26.953651956017236
143,-19.083953408682483
144,-28.65994414887281
145,-29.97763949925578
146,-31.572211666526186
147,-29.488646256710027
148,-27.777280219520435
149,-26.47198846010066
150,-32.71338465623044
151,-38.2214576932129
152,-33.329663894738275
153,-30.371745309883174
154,-29.957511150253296
155,-32.09730526384175
156,-28.602906508120313
157,-34.97806230565997
158,-31.332801189351066
159,-29.954465915631342
160,-30.921533648101708
161,-33.3401539029039
162,-28.787435037961355
163,-21.954307597087357
164,-29.918829545259374
165,-29.02662975516205
166,-30.28063401891737
167,-30.586807701603917
168,-27.66871880267869
169,-24.415337961312403
170,-29.642864167373023
171,-31.509908217045464
172,-33.63990434879424
173,-37.30436066534545
174,-31.48502512711567
175,-30.583223125672298
176,-28.905717037004777
177,-28.366534365259263
178,-32.57501688283822
179,-35.26112887120981
180,-31.275334467184205
181,-29.994908395450437
182,-29.826326937328083
183,-29.1795683057168
184,-31.879943250180208
185,-34.21240587602932
186,-34.078237380516
187,-31.32465302221163
188,-29.853426991937056
189,-26.139845804926875
190,-23.35926273023109
191,-27.009198934413913
192,-30.20736282671429
193,-32.67638110736204
194,-30.47426349000544
195,-30.20942883342737
196,-27.173348641304674
197,-28.803644285936223
198,-34.008993733965696
199,-35.96456506133571
200,-33.64563837471987
201,-40.17531906486033
202,-27.96786328420835
203,-20.605662784009795
204,-31.362651248714528
205,-34.90615976155047
206,-33.4757750297793
207,-38.597213112280684
208,-28.821496285079007
209,-22.55345327090534
210,-24.359080383303034
211,-29.052639282072484
212,-29.307720815932168
213,-30.295232178537034
214,-33.22554860225662
215,-35.878164352080645
216,-31.406908263290894
217,-30.149050911286768
218,-29.825292814146344
219,-30.5784066956886
220,-32.84901190171644
221,-33.78433045099584
222,-28.309912375917463
223,-24.238299408934928
224,-30.523741794992954
225,-31.263923116691767
226,-33.2264461056957
227,-32.07394136987276
228,-28.220967984494578
229,-23.489561504581317
230,-28.44402125649003
231,-39.72487043614962
232,-38.67596360621306
233,-32.610943421697684
234,-30.24518667868374
235,-29.390216941065223
236,-25.487321283319346
237,-33.854977242447866
238,-35.1833813459338
239,-31.76838897388871
240,-30.969068363889853
241,-32.81353316697309
242,-28.56016221295701
243,-23.339233925663333
244,-33.176275100945794
245,-34.535291182991685
246,-32.57181296972465
247,-34.27903796114505
248,-33.92965382417636
249,-32.29388734203696
250,-27.67175119426323
251,-28.294947604705808
252,-29.857764019896482
253,-32.21199425005632
254,-30.01565653768587
255,-28.05520135206958
